+ITJ		Oh				# DUMMY CLASSES FOR TAGS
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+ITJ		Oh
+SENT		.
+ITJ		Oh
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+ITJ		Oh
+SENT		.
+ITJ		Oh
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+ITJ		Oh
+SENT		.
+ITJ		Oh
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+ITJ		Oh
+SENT		.
+ITJ		Oh
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+int_verb	***dummy_verb***
+ITJ		Oh
+SENT		.
+ITJ		Oh
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+ITJ		Oh
+SENT		.
+ITJ		Oh
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+ITJ		Oh
+SENT		.
+ITJ		Oh
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
+int_noun	***dummy_noun***
