A

acet/i          to_buy
adiau*          good-bye
aer/o           air
afabl/a         kind, friendly
afer/o          matter, affair, thing
Afrik/o*        Africa
agrabl/a        pleasant, nice
ag/o            age
ajn             -ever (e.g. kiu ajn: whoever; iam ajn: whenever)
akcept/i        to_accept
akr/a*          sharp
akv/o           water
al              to, towards (preposition)
al/ig/i*        to_join (intrans.)
al/ven/i*       to_arrive (intrans.)
ali/a		other
almenau         at least (adverb)
alt/a           high, tall
am/i            to_love, to_like
amas/o          mass, crowd
ambau           both
amik/o          friend
Angl/o*         Englishman
angul/o         corner, angle
ankau           also, too (adverb)
ankorau         still (adverb)
anstatau        instead of (preposition, conjunction)
antau           before (preposition)
apart/a         separate
apenau          barely, scarcely (adverb)
aper/i          to_appear
apetit/o*       appetite
april/o*        april
apud            beside, near (preposition)
arb/o           tree
art/o           art
atend/i         to_wait
atent/a         attentive, careful		
atest/i*        to_attest, to_certify		
au              or, either... or... (conjunction)
aud/i           to_hear
august/o*       august
auskult/i       to_listen
aut/o*          automobile, car
autobus/o*      bus, coach
autun/o         autumn, fall
av/o            grandfather

B

baldau          soon (adverb)
bat/i           to_hit, to_beat
batal/i         to_fight
bel/a           lovely, beautiful
best/o          animal
bezon/i         to_need, to_require
bicikl/o*       bicycle
bier/o*         beer
bigami/o*       bigamy
bilard/o*       billiards, pool
bild/o          picture, image
bird/o          bird
blank/a         white
blind/a*        blind
blond/a*        blond
blu/a           blue
bon/a           good
bord/o          border, shore, bank
bov/o*          bull, ox
brak/o          arm
bril/i          to_shine, to_be bright
bru/i           to_make a noise
brul/i          to_burn, to_be on fire (intrans.)
brun/a*         brown
Bruno*          Esperantized version of the name "Brown"
bub/o*          boy, lad (often pejorative)
bufed/o*        buffet, snack-bar
bus/o           mouth
butik/o*        store, shop
butik/um/i*     to_go shopping

C

cel/i		to_aim at
cent            (one) hundred
cert/a          sure, certain
ci*             thou (rare)
cigared/o*      cigarette

C

cambr/o         room
capel/o         hat
car             because, since (conjunction)
cas/i*          to_hunt
ce              at, by (preposition)
ceval/o         horse
ci              indicates proximity (e.g. tio: that; tio ci: this; tie: there; tie ci: here)
ciel/o          heaven, sky
cirkau          around, approximately (adverb)
cokolad/o*      chocolate
cu              whether (interrogative particle)

D

da              of (follows quantity or measure) (preposition)
Dalas/o*        Dallas
danc/i*         to_dance
dank/i          to_thank
daur/i          to_last, to_continue, to_go on
de              of, from (preposition)
de/nov/e*       again, once more
decembr/o*      december
dek             ten
dekstr/a        right (side)
demand/i        to_ask (a question)
dens/a*         dense, thick
dent/o          tooth
dev/i           to_have_to, to_must
dezir/i         to_wish, to_desire
di/o            god
dik/a           thick, fat
dimanc/o*       sunday
dir/i           to_say
direkt/o        direction
disk/o*         disk, record
divers/a        varied
do              therefore, so, then (conjunction)
dolc/a          sweet
dolor/o         pain
dom/o           house, building
don/i           to_give
dorm/i          to_sleep
du              two
dub/i           to_doubt (trans.)
dum             while (conjunction), during (preposition)

E

ec              even (adverb)
edz/o           husband
eh/o*           echo
ekster          outside, out of (preposition)
ekzempl/o       example
ekzerc/i*       to_exercise, to_practice
el   		out of, from (preposition)
elekt/i         to_choose, to_elect
en              in, into_(with accusative) (preposition)
erar/i          to_err, to_make a mistake
eskim/o*        Eskimo, Inuit
esper/i         to_hope
esperant/o*     esperanto
est/i           to_be
Euklid/o*       Euclid
Europ/o*        Europe

F

facil/a         easy
fajr/o          fire
fal/i           to_fall
famili/o        family
far/i           to_do, to_make
fart/i*         to_fare, to_feel ("Kiel vi fartas?": "How are you?")
februar/o*      february
felic/a         happy
fenestr/o       window
fer/o           iron
ferm/i          to_close
fest/i          to_celebrate
fil/o           son
fin/i           to_finish, to_end (something) (trans.)
fingr/o         finger
fis/o           fish
flank/o         side
flav/a*         yellow
flor/o          flower
flug/i          to_fly
foj/o           time, occasion
for             far, away (adverb)
forges/i        to_forget
form/o          form
fort/a          strong
