-aĵo                                                                                      chose (concrète), difficulté, gravure
Abisenio                                                                                  Abyssinie
Abisenujo                                                                                 Abyssinie
Abrahamo                                                                                  Abraham
Abĥazio                                                                                   Abkhazie
Abĥazujo                                                                                  Abkhazie
Acoroj                                                                                    Açores
Adamo                                                                                     Adam
Adeno                                                                                     Aden
Adisabebo                                                                                 Addis-Abeba
Adono                                                                                     Adonis
Adrianopolo                                                                               Andrinople
Adriatiko                                                                                 mer Adriatique
Afganino                                                                                  Afghane
Afganio                                                                                   Afghanistan
Afgano                                                                                    Afghan
Afganujo                                                                                  Afghanistan
Afriko                                                                                    Afrique
Afrodito                                                                                  Aphrodite
Agamemno                                                                                  Agamemnon
Agato                                                                                     Agathe
Agneso                                                                                    Agnès
Ahasvero                                                                                  Assuérus
Ajaco                                                                                     Ajax
Akeno                                                                                     Aix-la-Chapelle
Akilo                                                                                     Achille
Akropolo                                                                                  Acropole
Akvilono                                                                                  Aquilon
Akvino                                                                                    Aquin
Akvitanio                                                                                 Aquitaine, Guyenne
Akvitanujo                                                                                Aquitaine, Guyenne
Alasko                                                                                    Alaska
Albanio                                                                                   Albanie
Albanujo                                                                                  Albanie
Albertio                                                                                  Alberta
Alberto                                                                                   Albert
Albiono                                                                                   Albion
Albreĥto                                                                                  Albert
Aldernejo                                                                                 Aurigny
Aleksandrio                                                                               Alexandrie
Aleksandro                                                                                Alexandre
Alesandrio                                                                                Alexandrie
Alpoj                                                                                     Alpes
Alsaco                                                                                    Alsace
Alzaco                                                                                    Alsace
Alĝerio                                                                                   Algérie
Alĝero                                                                                    Alger
Amerikano                                                                                 Américain
Ameriko                                                                                   Amérique
Amforo                                                                                    Verseau
Amoro                                                                                     Cupidon
Amsterdamo                                                                                Amsterdam
Anatolio                                                                                  Anatolie
Andaluzio                                                                                 Andalousie
Andaluzujo                                                                                Andalousie
Andoj                                                                                     Andes
Andoro                                                                                    Andorre
Andreo                                                                                    André
Andromaĥo                                                                                 Andromaque
Andromedo                                                                                 Andromède
Anglio                                                                                    Angleterre
Anglo                                                                                     Anglais, Angle
Anglolando                                                                                Angleterre
Anglosakso                                                                                Anglo-saxon
Anglujo                                                                                   Angleterre
Angolo                                                                                    Angola
Anheo                                                                                     Anhée
Annao                                                                                     Anne
Antarktiko                                                                                Antarctique
Anteo                                                                                     Anthée
Antikostio                                                                                Île d'Anticosti
Antiloj                                                                                   Antilles
Antioĥio                                                                                  Antioche
Antioĥujo                                                                                 Antioche
Antonio                                                                                   Antoine
Antverpeno                                                                                Anvers
Anunciacio                                                                                Annonciation
Anĵuo                                                                                     Anjou
Aosto                                                                                     Aoste
Apalaĉoj                                                                                  Appalaches
Apaĉo                                                                                     Apache
Apeninoj                                                                                  Apennins
Apokalipso                                                                                Apocalypse
Apolo                                                                                     Apollon
Apulio                                                                                    Pouilles
Arabio                                                                                    Arabie
Arabujo                                                                                   Arabie
Ardenoj                                                                                   Ardennes
Argentino                                                                                 Argentine
Argo                                                                                      Argus
Ariadno                                                                                   Ariane
Aristarĥo                                                                                 Aristarque
Aristofano                                                                                Aristophane
Aristotelo                                                                                Aristotèle
Aristoto                                                                                  Aristote
Arizono                                                                                   Arizona
Arkadio                                                                                   Arcadie
Arkadujo                                                                                  Arcadie
Arkimedo                                                                                  Archimède
Arktiko                                                                                   Arctique
Arlezo                                                                                    Arles
Armenio                                                                                   Arménie
Armentiro                                                                                 Armentières
Armentirso                                                                                Armentières
Armenujo                                                                                  Arménie
Armoriko                                                                                  Armorique
Arneko                                                                                    Arnèke
Artemo                                                                                    Artémis
Artezo                                                                                    Artois
Arĥimedo                                                                                  Archimède
Asirio                                                                                    Assyrie
Asirujo                                                                                   Assyrie
Asturio                                                                                   Asturies
Asturujo                                                                                  Asturies
Atabasko                                                                                  Athabasca
Ateno                                                                                     Athènes
Atiko                                                                                     Attique
Atlantido                                                                                 Atlantide
Atlantiko                                                                                 océan Atlantique
Atlaso                                                                                    Atlas
Atreĥto                                                                                   Arras
Atro                                                                                      Attre
Avesnes                                                                                   Avesnes
Azerio                                                                                    Azérie
Azerujo                                                                                   Azérie
Azio                                                                                      Asie
Aziso                                                                                     Assis
Azoroj                                                                                    Açores
Aĝario                                                                                    Adjarie
Aĥeno                                                                                     Aix-la-Chapelle
Aĥerono                                                                                   Achéron
Aŭgio                                                                                     Augias
Aŭgusto                                                                                   Auguste
Aŭreliano                                                                                 Aurélien
Aŭstralazio                                                                               Australasie
Aŭstralio                                                                                 Australie
Aŭstrio                                                                                   Autriche
Aŭstrujo                                                                                  Autriche
Babelo                                                                                    Babel
Babilonio                                                                                 Babylonie
Babilono                                                                                  Babylone
Bado                                                                                      Bade
Bafinlando                                                                                Île de Baffin
Bagdado                                                                                   Bagdad
Bajelo                                                                                    Bailleul
Bajkallago                                                                                lac Baïkal
Bajruto                                                                                   Beyrouth
Bakko                                                                                     Bacchus
Baldearoj                                                                                 Baléares
Baldevino                                                                                 Baudouin
Balearoj                                                                                  Baléares
Balio                                                                                     Bali
Balkanoj                                                                                  Balkans
Baltazaro                                                                                 Balthazar
Bamako                                                                                    Bamako
Bankoko                                                                                   Bangkok
Barbadoso                                                                                 Barbade
Barbarao                                                                                  Barbe
Barbario                                                                                  Barbarie
Barbaroso                                                                                 Barberousse
Barbarujo                                                                                 Barbarie
Barbencono                                                                                Barbençon
Barcelono                                                                                 Barcelone
Bario                                                                                     Barry
Barlehertogo                                                                              Bar-le-Duc
Bartolomenokto                                                                            Saint-Barthélemy
Bartolomeo                                                                                Barthélemy
Bavario                                                                                   Bavière
Bavarujo                                                                                  Bavière
Baviko                                                                                    Bavay
Bazelo                                                                                    Bâle
Bearno                                                                                    Béarn
Beatriko                                                                                  Béatrice
Belgio                                                                                    Belgique
Belgo                                                                                     Belge
Belgujo                                                                                   Belgique
Belzebubo                                                                                 Belzébuth
Benedikto                                                                                 Benoît
