***NAMEDLABELSIDS***	06	32C
**BIAS**	0.00000000000000000000 0.63408523797988891602
TOK-1-pos:REL	0.00000000000000000000 -0.84554868936538696289
TOK-1-lemma:que	0.00000000000000000000 0.17133177071809768677
DEP-CDIR-pos:NOUN	0.00000000000000000000 -0.10596808046102523804
DEP-CDIR-lemma:início	0.00000000000000000000 -0.47930309176445007324
DEP-CDIR-lemma:destruição	0.00000000000000000000 -0.47931474447250366211
TOK-1-pos:PRON	0.00000000000000000000 -0.29989694058895111084
TOK-1-lemma:eu	0.00000000000000000000 0.76786616444587707520
TOK-2-pos:CONJ	0.00000000000000000000 0.35647331178188323975
TOK-2-lemma:que	0.00000000000000000000 0.61021369695663452148
DEP-CDIR-lemma:luz	0.00000000000000000000 0.12484999373555183411
DEP-CDIR-sem:sem-ac	0.00000000000000000000 0.49068164825439453125
DEP-CDIR-sem:sem-cc	0.00000000000000000000 0.22241257131099700928
DEP-CDIR-sem:Npl	0.00000000000000000000 -0.32169756293296813965
DEP-CDIR-sem:sem-am	0.00000000000000000000 0.76471468806266784668
TOK-2-pos:PREP	0.00000000000000000000 -0.54115311801433563232
TOK-2-lemma:de	0.00000000000000000000 -0.62541417777538299561
TOK-3-pos:VERB	0.00000000000000000000 0.40886244177818298340
TOK-3-lemma:deixar	0.00000000000000000000 0.09181993827223777771
TOK+1-pos:PUNCT	0.00000000000000000000 0.26637724786996841431
TOK+1-lemma:"	0.00000000000000000000 0.08092304319143295288
TOK+2-pos:VERB	0.00000000000000000000 0.69065386056900024414
TOK+2-lemma:contar	0.00000000000000000000 0.34744499623775482178
TOK+3-pos:PREP	0.00000000000000000000 0.26645588129758834839
TOK+3-lemma:a	0.00000000000000000000 0.09842290729284286499
DEP-CDIR-pos:PRON	0.00000000000000000000 -0.49031649529933929443
DEP-CDIR-lemma:eu	0.00000000000000000000 -0.80114597082138061523
DEP-CDIR-sem:Hum	0.00000000000000000000 0.70901542901992797852
DEP-MOD-pos:ADV	0.00000000000000000000 0.59145842492580413818
DEP-MOD-lemma:de_repente	0.00000000000000000000 0.09191300347447395325
TOK-1-pos:NOUN	0.00000000000000000000 0.21841253340244293213
TOK-1-lemma:português	0.00000000000000000000 0.02283191122114658356
TOK-2-pos:ART	0.00000000000000000000 -0.06566809979267418385
TOK-2-lemma:o	0.00000000000000000000 0.20984356105327606201
TOK-3-pos:CONJ	0.00000000000000000000 -0.06565822847187519073
TOK-3-lemma:e	0.00000000000000000000 0.21809977293014526367
TOK+1-pos:ART	0.00000000000000000000 0.14573498442769050598
TOK+1-lemma:o	0.00000000000000000000 -0.34240794926881790161
TOK+2-pos:NOUN	0.00000000000000000000 1.63609308004379272461
TOK+2-lemma:produto	0.00000000000000000000 0.02183251408860087395
TOK+3-lemma:em	0.00000000000000000000 0.39560927450656890869
DEP-SUBJ-pos:NOUN	0.00000000000000000000 0.84868571162223815918
DEP-SUBJ-lemma:português	0.00000000000000000000 0.02116436045616865158
DEP-SUBJ-sem:Hum	0.00000000000000000000 -0.16872544074431061745
DEP-SUBJ-sem:Npl	0.00000000000000000000 -0.30790162086486816406
DEP-SUBJ-sem:sem-domain	0.00000000000000000000 0.02158799581229686737
DEP-SUBJ-sem:sem-ling	0.00000000000000000000 0.02158778626471757889
DEP-CDIR-lemma:produto	0.00000000000000000000 0.02158758975565433502
DEP-MOD-pos:NOUN	0.00000000000000000000 -0.32905253767967224121
DEP-MOD-lemma:mercado	0.00000000000000000000 0.01916197640821337700
DEP-MOD-sem:Nloc	0.00000000000000000000 0.72833299636840820312
DEP-MOD-sem:sem-inst	0.00000000000000000000 -0.08751512691378593445
TOK-1-lemma:Jozic	0.00000000000000000000 -0.11418902873992919922
TOK-3-pos:NOUN	0.00000000000000000000 -0.57114677131175994873
TOK-3-lemma:equipa	0.00000000000000000000 -0.11435516178607940674
TOK+1-pos:VERB	0.00000000000000000000 -0.22934754937887191772
TOK+1-lemma:diminuir	0.00000000000000000000 -0.11429269611835479736
TOK+2-pos:ADV	0.00000000000000000000 -0.45676584541797637939
TOK+2-lemma:consideravelmente	0.00000000000000000000 -0.11419228091835975647
TOK+3-pos:ART	0.00000000000000000000 -0.05177708715200424194
TOK+3-lemma:o	0.00000000000000000000 0.44634352624416351318
DEP-CDIR-pos:VERB	0.00000000000000000000 -0.65341453254222869873
DEP-CDIR-lemma:diminuir	0.00000000000000000000 -0.11122822016477584839
DEP-CDIR-sem:QueF	0.00000000000000000000 -0.35243345797061920166
TOK-1-pos:ADV	0.00000000000000000000 -0.85846412181854248047
TOK-1-lemma:não	0.00000000000000000000 -0.65228849649429321289
TOK-2-pos:REL	0.00000000000000000000 0.65204481780529022217
DEP-MOD-lemma:barulho	0.00000000000000000000 -0.90694880485534667969
DEP-MOD-lemma:não	0.00000000000000000000 0.26473809033632278442
TOK-1-pos:PUNCT	0.00000000000000000000 0.32961632311344146729
TOK-1-lemma:"	0.00000000000000000000 0.78876209259033203125
TOK+1-pos:ADV	0.00000000000000000000 -0.62051509320735931396
TOK+1-lemma:bem	0.00000000000000000000 -0.47308048605918884277
TOK+2-pos:CONJ	0.00000000000000000000 -0.49388612806797027588
TOK+2-lemma:que	0.00000000000000000000 -0.61033308506011962891
TOK+3-pos:NP	0.00000000000000000000 -0.47750635445117950439
TOK+3-lemma:espécie	0.00000000000000000000 -0.12272535264492034912
DEP-CDIR-lemma:ser	0.00000000000000000000 -0.35912632942199707031
DEP-MOD-lemma:bem	0.00000000000000000000 -0.12024011090397834778
DEP-MOD-pos:VERB	0.00000000000000000000 -0.55277428776025772095
DEP-MOD-lemma:ser	0.00000000000000000000 -0.13203018531203269958
TOK-1-lemma:(	0.00000000000000000000 0.15605033934116363525
TOK-2-pos:ADJ	0.00000000000000000000 -0.28603575378656387329
TOK-2-lemma:irritante	0.00000000000000000000 -0.12812339887022972107
TOK-3-pos:ADV	0.00000000000000000000 0.08204983733594417572
TOK-3-lemma:apenas	0.00000000000000000000 -0.12810913473367691040
TOK+1-pos:CONJ	0.00000000000000000000 -1.48347643017768859863
TOK+1-lemma:como	0.00000000000000000000 -0.59349355101585388184
TOK+2-pos:NP	0.00000000000000000000 -0.30934653431177139282
TOK+2-lemma:eu	0.00000000000000000000 -0.60435336828231811523
TOK+3-pos:VF	0.00000000000000000000 0.35108593106269836426
TOK+3-lemma:articular	0.00000000000000000000 -0.12294756248593330383
DEP-MOD-lemma:articular	0.00000000000000000000 -0.12294279411435127258
TOK-1-pos:CONJ	0.00000000000000000000 -0.06333956765593029559
TOK-1-lemma:e	0.00000000000000000000 -0.10325743257999420166
TOK-2-pos:VINF	0.00000000000000000000 -0.30572512000799179077
TOK-2-lemma:ficar	0.00000000000000000000 -0.43571835756301879883
TOK-3-lemma:por	0.00000000000000000000 -0.52955172955989837646
TOK+2-pos:PRON	0.00000000000000000000 0.07679295167326927185
TOK+3-pos:NOUN	0.00000000000000000000 1.05663573741912841797
TOK+3-lemma:contrato	0.00000000000000000000 -0.42709180712699890137
DEP-SUBJ-lemma:Joe_Smith	0.00000000000000000000 -0.42708410322666168213
DEP-CDIR-lemma:contrato	0.00000000000000000000 -0.42707598209381103516
DEP-CDIR-sem:sem-sem-r	0.00000000000000000000 -0.27248224616050720215
DEP-MOD-lemma:mais	0.00000000000000000000 -0.29207445681095123291
TOK-1-pos:PREP	0.00000000000000000000 -0.41165167093276977539
TOK-1-lemma:a	0.00000000000000000000 0.61090117692947387695
TOK-2-pos:PRON	0.00000000000000000000 0.88813024759292602539
TOK-2-lemma:eu	0.00000000000000000000 0.29125936329364776611
TOK-3-lemma:levar	0.00000000000000000000 0.03705785516649484634
TOK+1-pos:NOUN	0.00000000000000000000 1.41945075988769531250
TOK+1-lemma:coisa	0.00000000000000000000 0.03688385430723428726
TOK+2-pos:ADJ	0.00000000000000000000 -0.95347079634666442871
TOK+2-lemma:interessante	0.00000000000000000000 0.03686622902750968933
TOK+3-pos:CONJ	0.00000000000000000000 -0.43300521373748779297
TOK+3-lemma:como	0.00000000000000000000 0.16391675919294357300
DEP-SUBJ-lemma:coisa	0.00000000000000000000 0.03686886187642812729
DEP-SUBJ-sem:sem-ac	0.00000000000000000000 -0.33883292227983474731
DEP-SUBJ-sem:sem-cc	0.00000000000000000000 0.82212141156196594238
DEP-CDIR-lemma:ginásio	0.00000000000000000000 0.03668725490570068359
DEP-CDIR-sem:Nloc	0.00000000000000000000 0.45640894770622253418
DEP-CDIR-sem:sem-inst	0.00000000000000000000 0.03663019835948944092
DEP-MOD-lemma:cozinhar	0.00000000000000000000 0.03662967123091220856
TOK-1-lemma:Klee	0.00000000000000000000 0.20559933781623840332
TOK+1-pos:PRON	0.00000000000000000000 0.80679088830947875977
TOK+1-lemma:eu	0.00000000000000000000 0.75314825773239135742
TOK+2-lemma:como	0.00000000000000000000 -0.68618375062942504883
TOK+3-lemma:um	0.00000000000000000000 -0.42686443030834197998
DEP-SUBJ-lemma:Klee	0.00000000000000000000 0.20119198411703109741
DEP-MOD-lemma:universo	0.00000000000000000000 0.20117849856615066528
DEP-MOD-pos:PASTPART	0.00000000000000000000 -0.04281514324247837067
DEP-MOD-lemma:esconder	0.00000000000000000000 0.20107845216989517212
TOK-1-lemma:quando	0.00000000000000000000 -0.60637320578098297119
DEP-CDIR-lemma:miúdo	0.00000000000000000000 0.17819185554981231689
DEP-CDIR-sem:sem-an	0.00000000000000000000 0.33832229673862457275
DEP-CDIR-sem:sem-mon	0.00000000000000000000 0.37116672098636627197
DEP-MOD-lemma:água	0.00000000000000000000 0.17813364416360855103
DEP-MOD-sem:sem-cm	0.00000000000000000000 -0.42833366990089416504
DEP-MOD-sem:sem-drink	0.00000000000000000000 0.53640307486057281494
DEP-MOD-pos:CONJ	0.00000000000000000000 0.39764641225337982178
DEP-MOD-lemma:quando	0.00000000000000000000 0.27989146858453750610
TOK-1-lemma:Gabriel	0.00000000000000000000 -0.20892170071601867676
TOK-3-lemma:pai	0.00000000000000000000 -0.20890939980745315552
TOK+1-pos:PREP	0.00000000000000000000 0.29720726609230041504
TOK+1-lemma:em	0.00000000000000000000 0.39804472029209136963
TOK+2-pos:ART	0.00000000000000000000 -0.42342802882194519043
TOK+2-lemma:o	0.00000000000000000000 -0.05904958024621009827
TOK+3-lemma:escola	0.00000000000000000000 -0.20778964459896087646
DEP-SUBJ-lemma:pai	0.00000000000000000000 -0.47918993234634399414
DEP-SUBJ-sem:sem-hfam	0.00000000000000000000 -0.24074626713991165161
DEP-CDIR-pos:ART	0.00000000000000000000 -0.25388356298208236694
DEP-CDIR-lemma:o	0.00000000000000000000 -0.33289200067520141602
DEP-MOD-lemma:escola	0.00000000000000000000 -0.20780985057353973389
DEP-MOD-sem:Hum	0.00000000000000000000 -0.29487852752208709717
DEP-MOD-lemma:representação	0.00000000000000000000 -0.20745293796062469482
DEP-MOD-sem:sem-HH	0.00000000000000000000 -0.07701898366212844849
DEP-MOD-lemma:rejeitar	0.00000000000000000000 -0.20732721686363220215
DEP-MOD-sem:Npl	0.00000000000000000000 0.00578270480036735535
TOK+3-pos:VERB	0.00000000000000000000 -0.52262221276760101318
TOK+3-lemma:lapidar	0.00000000000000000000 -0.79300796985626220703
DEP-SUBJ-pos:PRON	0.00000000000000000000 0.43980917334556579590
DEP-SUBJ-lemma:eu	0.00000000000000000000 -0.17526473477482795715
TOK-2-pos:NOUN	0.00000000000000000000 -0.60009989142417907715
TOK-2-lemma:primeiro-ministro	0.00000000000000000000 -0.30466119199991226196
TOK-3-pos:ART	0.00000000000000000000 -0.12304536253213882446
TOK-3-lemma:o	0.00000000000000000000 -0.30076441168785095215
DEP-SUBJ-lemma:primeiro-ministro	0.00000000000000000000 -0.30346632003784179688
DEP-SUBJ-sem:sem-Hprof	0.00000000000000000000 0.47987282276153564453
DEP-MOD-lemma:governo	0.00000000000000000000 -0.04979833774268627167
DEP-MOD-lemma:ás	0.00000000000000000000 -0.30314973741769790649
DEP-MOD-lemma:Alema	0.00000000000000000000 -0.30313987284898757935
TOK-1-lemma:de	0.00000000000000000000 -0.77665820717811584473
