A

acet/i 	 	acheter
adiau* 	 	adieu
aer/o		air (qu'on respire)
afabl/a 	gentil
afis/o+	 	affiche
afer/o		affaire
Afrik/o*	Afrique
agrabl/a	agréable
ag/o		âge
ajn		n'importe (ex. kiu ajn : n'importe qui ; iam ajn : n'importe quand)
akcept/i	accepter
akir/i+ 	acquérir
akr/a*		pointu
akuz/i+ 	accuser
akv/o		eau
al		vers (préposition)
al/ig/i*	adhérer, joindre (intrans.)
al/ven/i*	arriver (intrans.)
ali/a		autre
almenau	 	au moins (adverbe)
alt/a		haut, grand
am/i		aimer
amas/o		amas, foule
ambau		les deux (ensemble)
amik/o		ami
ampleks/o+	portée, étendue
amuz/i+ 	amuser
Angl/o* 	Anglais
angul/o 	coin, angle
ankau		aussi (adverbe)
ankorau	 	encore (adverbe)
anonc/i+	annoncer
anstatau	au lieu de (préposition, conjonction)
antau		devant, avant (préposition)
apart/a 	séparé
apenau 	 	à peine (adverbe)
aper/i		apparaître
apetit/o*	appétit
april/o*	avril
apud		près de (préposition)
arb/o		arbre
art/o		art
asert/i+	affirmer
asoci/o+	association
aspekt/i+	paraître
atend/i 	attendre
atent/a 	attentif,
atest/i*	attester, certifier
ating/i+	atteindre
au		ou, soit... soit... (conjonction)
aud/i		entendre
august/o*	août
auskult/i	écouter
aut/o* 	 	automobile, voiture
autobus/o*	bus,
autun/o	 	automne
av/o		grand-père
aviad/o+	aviation (-> aviadilo : avion)
azen/o+ 	âne

B

babil/i+	bavarder
bak/i+		cuire au four
baldau 	 	bientôt (adverbe)
balot/i+	voter
ban/i+		baigner, donner un bain
bat/i		battre
batal/i 	se battre (intransitif)
bedaur/i+	regretter
bel/a		beau
best/o		animal, bête
bezon/i 	avoir besoin
bicikl/o*	bicyclette, vélo
bier/o* 	bière
bigami/o*	bigamie
bilard/o*	billard
bild/o		image
bird/o		oiseau
blank/a 	blanc
blind/a*	aveugle
blond/a*	blond
blov/i+ 	souffler
blu/a		bleu
bol/i+		bouillir
bon/a		bon/bonne
bord/o		bord
botel/o+	bouteille
bov/o*		boeuf
brak/o		bras
bril/i		briller
bru/i		faire du bruit
brul/i		brûler (intrans.)
brun/a* 	brun, marron
bub/o*		gamin (souvent péjoratif)
bufed/o*	buffet, snack-bar
bus/o		bouche
buter/o+	beurre
butik/o*	boutique
butik/um/i*	faire les boutiques, magasiner (Québec)

C

cel/i		avoir pour but
cent		cent
centr/o+	centre
cert/a		sûre, certain
ceter/a+	restant, autre
ci*		tu (rare, habituellement "vous et tu" = vi)
cigared/o*	cigarette
cirkl/o+	cercle
civiliz/i	civiliser

C

cambr/o	 	pièce (d'une maison)
capel/o	 	chapeau
